Year of Birth,Gender,Ethnicity,Child's First Name,Count,Rank
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Olivia,172,1
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Chloe,112,2
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Sophia,104,3
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Emma,99,4
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Emily,99,4
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Mia,79,5
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Charlotte,59,6
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Sarah,57,7
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Isabella,56,8
2016,FEMALE,ASIAN AND PACIFIC ISLANDER,Hannah,56,8
2016,FEMALE,BLACK NON HISPANIC,Ava,55,1
2016,FEMALE,BLACK NON HISPANIC,Zoe,54,2
2016,FEMALE,BLACK NON HISPANIC,Khloe,52,3
2016,FEMALE,BLACK NON HISPANIC,Madison,50,4
2016,FEMALE,BLACK NON HISPANIC,Riley,48,5
2016,FEMALE,BLACK NON HISPANIC,Zuri,47,6
2016,FEMALE,BLACK NON HISPANIC,Aaliyah,46,7
2016,FEMALE,BLACK NON HISPANIC,Alyssa,45,8
2016,FEMALE,BLACK NON HISPANIC,Layla,44,9
2016,FEMALE,BLACK NON HISPANIC,Brooklyn,43,10
